,title,description,web_url,price,rent,credit,category,business_type,images,city,district,token
0,آیفون۱۳ پرومکس، ۲۵۶ گیگ، در حد,"یک عدد آیفون ۱۳ پرومکس رنگ آبی (گرونترین رنگ)
حافظه ۲۵۶
هلس باتری ۸۹
بسیار سالم و بدون هیچ خط و خشی
فقط مصرف کننده",https://divar.ir/v/wYaDFxmy,65000000,,,mobile-phones,personal,['https://s100.divarcdn.com/static/pictures/1676731207/wYaDFxmy.webp'],تهران,پونک,wYaDFxmy
1,گیرنده دیجیتال,باسلام گیرنده دیجیتال درحد نو تازه خریدم سر معامله تخفیف هم داره,https://divar.ir/v/wYwDLWHD,250000,,,audio-video,personal,"['https://s100.divarcdn.com/static/pictures/1676731207/wYwDLWHD.webp', 'https://s100.divarcdn.com/static/pictures/1676731207/wYwDLWHD.1.webp', 'https://s100.divarcdn.com/static/pictures/1676731207/wYwDLWHD.2.webp']",تهران,قیام‌دشت,wYwDLWHD
2,سامسونگ گلکسی اس 21 fe با حافظهٔ ۲۵۶ گیگابایت,"سامسونگ گلکسی s21 fe 
بدون خط و خش 
بدون هیچ نقطه ای 
کلا ۶ ساعت استفاده شده ( عکسش موجوده ) 
۲۵۶ گیگ 
رم ۸",https://divar.ir/v/wYwD7Anv,18500000,,,mobile-phones,personal,"['https://s100.divarcdn.com/static/pictures/1676731205/wYwD7Anv.webp', 'https://s100.divarcdn.com/static/pictures/1676731205/wYwD7Anv.1.webp', 'https://s100.divarcdn.com/static/pictures/1676731205/wYwD7Anv.2.webp', 'https://s100.divarcdn.com/static/pictures/1676731205/wYwD7Anv.3.webp', 'https://s100.divarcdn.com/static/pictures/1676731205/wYwD7Anv.4.webp', 'https://s100.divarcdn.com/static/pictures/1676731205/wYwD7Anv.5.webp', 'https://s100.divarcdn.com/static/pictures/1676731205/wYwD7Anv.6.webp', 'https://s100.divarcdn.com/static/pictures/1676731205/wYwD7Anv.7.webp', 'https://s100.divarcdn.com/static/pictures/1676731205/wYwD7Anv.8.webp']",تهران,ازگل,wYwD7Anv
3,کیس، کامپیوتر، رندرینگ، گیمینگ intel core i7 9700k,"- قطعات و کیس در حد آک 
- مناسب گیمینگ و رندرینگ 

- مادربورد : Asus tuf gaming Z390 Plus
Cpu : Core i7 9700K -
- کارت گرافیک : Geforce GTX 1660 Super
Ram : 32 GB T.force RGB Colore -
- پاور : Antec 700W
- کولینگ : CoolerMaster Hyper 212 Turbo 
- کیس : Green Z2+ HERO
- هارد : 4 ترابایت MARSHAL
- دی وی دی رایتر ASUS
- 5 فن خنک کننده با ۳ حالت (خاموش ، کند ، تند )

مناسب تدوین، گرافیک، گیمینگ، طراحی و...

قیمت : 40.000.000 تومان",https://divar.ir/v/wYwHbiAK,40000000,,,desktops,personal,"['https://s100.divarcdn.com/static/pictures/1676731205/wYwHbiAK.webp', 'https://s100.divarcdn.com/static/pictures/1676731205/wYwHbiAK.1.webp', 'https://s100.divarcdn.com/static/pictures/1676731205/wYwHbiAK.2.webp', 'https://s100.divarcdn.com/static/pictures/1676731205/wYwHbiAK.3.webp', 'https://s100.divarcdn.com/static/pictures/1676731205/wYwHbiAK.4.webp']",تهران,فیروزآبادی,wYwHbiAK
4,تبدیل USB-3 به JAC3.5 اورجینال اپل,"با سلام تبدیل اصلا استفاده نشده 
اورجینال هست با ضمانت از اپل استور خریدم با فاکتور",https://divar.ir/v/wYwHrhc8,350000,,,mobile-tablet-accessories,personal,['https://s100.divarcdn.com/static/pictures/1676731203/wYwHrhc8.webp'],تهران,کوی فردوس,wYwHrhc8
5,پرینتر HPسیاه سفید,"سالم 
کارتریج خشک شده 
پاور هم ندارع",https://divar.ir/v/wYw_K_bW,850000,,,printer-scaner-copier,personal,"['https://s100.divarcdn.com/static/pictures/1676731201/wYw_K_bW.webp', 'https://s100.divarcdn.com/static/pictures/1676731201/wYw_K_bW.1.webp', 'https://s100.divarcdn.com/static/pictures/1676731201/wYw_K_bW.2.webp', 'https://s100.divarcdn.com/static/pictures/1676731201/wYw_K_bW.3.webp']",تهران,نارمک,wYw_K_bW
6,واکمن پاناسونیک,کاملا سالم. اما قدیمی هست و چون درش یک مقدار شل شده قیمت رو پایین زدم.,https://divar.ir/v/wYwD7Hlb,500000,,,mp3-player,personal,['https://s100.divarcdn.com/static/pictures/1676731187/wYwD7Hlb.webp'],تهران,سلسبیل,wYwD7Hlb
7,اپل iPhone 11 با حافظهٔ ۱۲۸ گیگابایت,"اپل ۱۱ سالم و بدون خط و خش و یک عدد poco x3 pro 128g مایلم با 11pro max یا 12 معاوضه کنم فقط
فقط پیام جواب میدم",https://divar.ir/v/wYwDLHeD,30000000,,,mobile-phones,personal,[],تهران,یافت‌آباد,wYwDLHeD
8,ایپد ۲,"ایپد ۲ ظرفیت ۱۶گیگ سالم
اپل ایدی روش داره. ک پسورد یادم نیست
ولی دستگاه بالا و قابل استفاده هست.  برای فیلم دیدن یا وب گردی",https://divar.ir/v/wYwD7G2H,1200000,,,tablet,personal,"['https://s100.divarcdn.com/static/pictures/1676731179/wYwD7G2H.webp', 'https://s100.divarcdn.com/static/pictures/1676731179/wYwD7G2H.1.webp', 'https://s100.divarcdn.com/static/pictures/1676731179/wYwD7G2H.2.webp']",تهران,خانی‌آباد نو,wYwD7G2H
9,جفت باند 15اینچ پستیو,"جفت باند 15اینچ پستیو
گریدA
درحد بدون تعمیر یا خرابی
ارسال از شهرستان کرمانشاه
هزینه بعداز ارسال وبرگه تأیید تیپاکس پرداخت شود",https://divar.ir/v/wYwDrON6,12500000,,,stereo-surround,personal,"['https://s100.divarcdn.com/static/pictures/1676731172/wYwDrON6.webp', 'https://s100.divarcdn.com/static/pictures/1676731172/wYwDrON6.1.webp']",تهران,آبشار,wYwDrON6
10,DJI GOGGLES . عینک,"DJI GOGGLES
کاملا سالم و کم کارکرد
به همراه جعبه و کابل HDMI

قیمت :7ملیون",https://divar.ir/v/wYwDLQAa,7000000,,,game-consoles-and-video-games,personal,['https://s100.divarcdn.com/static/pictures/1676731161/wYwDLQAa.webp'],تهران,سلسبیل,wYwDLQAa
11,تلفن ثابت تهرانپارس,"انتقال خط ثابت صفر تا حالا استفاده نشده تهرانپارس
021-77-39-14-84",https://divar.ir/v/wYwDLK-I,300000,,,phone,personal,[],تهران,خاک سفید,wYwDLK-I
12,(فرمان بازی Game Top),"سلام 
فرمان بازی Game top به همراه پدال 
در حد نو 
فقط فیش پدال مطابق عکس  خراب می باشد. 

تماس با ***********",https://divar.ir/v/wYwDLMpC,500000,,,game-consoles-and-video-games,personal,"['https://s100.divarcdn.com/static/pictures/1676731160/wYwDLMpC.webp', 'https://s100.divarcdn.com/static/pictures/1676731160/wYwDLMpC.1.webp', 'https://s100.divarcdn.com/static/pictures/1676731160/wYwDLMpC.2.webp']",تهران,افسریه,wYwDLMpC
13,پاور گرین ۱۰۰۰ وات gp1030b,پاور ۱۰۰۰ وات گرین کم کارکرد تمام کابل هارو داره در حد نو,https://divar.ir/v/wYw_K5iU,2200000,,,parts-and-accessories,personal,['https://s100.divarcdn.com/static/pictures/1676731150/wYw_K5iU.webp'],تهران,چیتگر,wYw_K5iU
14,هدست بولوتوثی,"هدست بولوتوثی برند NIA 
superb sound",https://divar.ir/v/wYwHpqjw,350000,,,mobile-tablet-accessories,personal,['https://s100.divarcdn.com/static/pictures/1676731147/wYwHpqjw.webp'],تهران,تهرانپارس غربی,wYwHpqjw
15,نوار کاست فیلم برگردان فلاپیی سی دی همگی نو,قیمت توافقی,https://divar.ir/v/wYwrqbPo,100000,,,movies-and-music,personal,"['https://s100.divarcdn.com/static/pictures/1676731145/wYwrqbPo.webp', 'https://s100.divarcdn.com/static/pictures/1676731145/wYwrqbPo.1.webp', 'https://s100.divarcdn.com/static/pictures/1676731145/wYwrqbPo.2.webp', 'https://s100.divarcdn.com/static/pictures/1676731145/wYwrqbPo.3.webp', 'https://s100.divarcdn.com/static/pictures/1676731145/wYwrqbPo.4.webp']",تهران,استاد معین,wYwrqbPo
16,ویدیو بتاماکس بتا ۲۰۰ Beta 200 sony,"با سلام یکدستگاه ویدیو بتاماکس سونی سری بتا ۲۰۰ بهمراه کنترل و کابل مربوطه کاملا سالم بفروش میرسد.
دستگاه سری اصلی بوده و با سوپربتا سری بعدش تفاوت زیادی دارد.",https://divar.ir/v/wYEy0Why,1200000,,,video-dvdplayer,marketplace,['https://s100.divarcdn.com/static/pictures/1676731133/wYEy0Why.webp'],تهران,شهید آوینی,wYEy0Why
17,فروش فرمان_براPS5_4بازیXBOXقابلنصب,"فروش فرمان بازی پلی استیشن و ایکس باکس 
لاجیتک  / کوانتوم/ اینفینیتی /ایکس پی ان /
 دنده شیفت دار /کلاج دار  
فروش کنسول و دسته بازی پلی استیشن پنج و ایکس باکس نسل ۹ 

نصب بازی  PS5 XBOX PS4 رفع عیب و تعمیر دسته


میدان هروی مجتمع تجاری هدیش مال طبقه دوم پلاک ۲۵۲ گیمکده پویا",https://divar.ir/v/wYgLRL2T,4000000,,,game-consoles-and-video-games,marketplace,['https://s100.divarcdn.com/static/pictures/1676731105/wYgLRL2T.webp'],تهران,هروی,wYgLRL2T
18,۸تا قاب گوشی  فقط,تمام قابها در حده شما پول ی دونه شو میدی ۸تا میبری,https://divar.ir/v/wYw_q8CL,290000,,,mobile-tablet-accessories,personal,"['https://s100.divarcdn.com/static/pictures/1676731105/wYw_q8CL.webp', 'https://s100.divarcdn.com/static/pictures/1676731105/wYw_q8CL.1.webp', 'https://s100.divarcdn.com/static/pictures/1676731105/wYw_q8CL.2.webp', 'https://s100.divarcdn.com/static/pictures/1676731105/wYw_q8CL.3.webp']",تهران,نواب,wYw_q8CL
19,ویدیو پروژکتورهیتاچی اورجینال_باگارانتی رسمی,"▫️به نام خدا 

با یه تماس خونتو به سینما تبدیل کن ⁉️

خرید غیر حضوری=۵۰۰ هزار تومان تخفیف

✔بهترین ویدیو پروژکتور رو با کمترین قیمت از ما تهیه کنید 

✔نگران خرید ازما نباشید ما دستگاه رو بی قیدو شرط گارانتی میکنیم 


✔اگه از دستگاه به هردلیلی خوشتون نیومد براتون تعویض میکنیم دیگه چی ازین بهتر !!


✔تو کمترین زمان ممکن تیم حرفه ای ما درمحل مورد نظرشما حضور پیدا میکنندو کار رو براتون از صفر تا صد راه اندازی میکنند


✔️با کیفیت ترین و به قیمت ترین لوازم جانبی رو تقدیمتون میکنیم 

 


↩آدرس ما :صادقیه 

آدرس ما :فلکه دوم تهرانپارس ب سمت چهارراه رشید مجتمع تجاری نگین شرق واحد ۱۷",https://divar.ir/v/wY3l1AzB,4000000,,,tv-projector,marketplace,"['https://s100.divarcdn.com/static/pictures/1676731100/wY3l1AzB.webp', 'https://s100.divarcdn.com/static/pictures/1676731100/wY3l1AzB.1.webp', 'https://s100.divarcdn.com/static/pictures/1676731100/wY3l1AzB.2.webp', 'https://s100.divarcdn.com/static/pictures/1676731100/wY3l1AzB.3.webp', 'https://s100.divarcdn.com/static/pictures/1676731100/wY3l1AzB.4.webp', 'https://s100.divarcdn.com/static/pictures/1676731100/wY3l1AzB.5.webp', 'https://s100.divarcdn.com/static/pictures/1676731100/wY3l1AzB.6.webp', 'https://s100.divarcdn.com/static/pictures/1676731100/wY3l1AzB.7.webp']",تهران,صادقیه,wY3l1AzB
20,Asus Fx517ZR,"برای کارهای گرافیکی ، رندرینگ و بازی .

8 GB RTX 3070
 CoreI i7 12650
   Ram 16  
, SSD 512 
144 هرتز 
 یک ماهه خریدم . گارانتی تا تیر ۱۴۰۳ .  کاملا تمیز . انگار نو میخری .  با کارتن .",https://divar.ir/v/wYwHrIw0,53000000,,,laptops,personal,"['https://s100.divarcdn.com/static/pictures/1676731102/wYwHrIw0.webp', 'https://s100.divarcdn.com/static/pictures/1676731102/wYwHrIw0.1.webp', 'https://s100.divarcdn.com/static/pictures/1676731102/wYwHrIw0.2.webp']",تهران,آذربایجان,wYwHrIw0
21,ویدئو پروژکتور پخش تصویر بصورت بی سیم با گوشی,"سلام

         ❎فروشگاه ما را از دست ندهید❎

           ♦️مرکز ویدئو پروژکتور♦️

✅قیمتی واقعی و ارزان
✅تنوع محصول بالا
✅گارانتی اصلی و معتبر
 ✅قابلیت اتصال به صورت بی سیم به گوشی و لپ تاپ 
✅مناسب جهت پخش ps5_ps4
✅جایگزین مناسب تلویزیون

          ❎کیفیت رو فدای قیمت نکنیم❎

✅6ماه خدمات پس ازفروش  و گارانتی تعویض

✅دستگاه تعمیری بوددوبرابرقیمت دستگاه خسارت میدیم
✅همه دستگاها با لامپ اورجینال وکم کارتقدیم میگردد

روش های خرید:

♦️حضور در فروشگاه و بهرمندی از تخفیف ویژه ما

♦️امکان ارسال چندین مدل ازطریق نصاب های حرفه ای به محل مورد نظر شما

✅ادرس فروشگاها:

♦️شعبه اول :میدان رسالت-دور میدان(رسالت) پشت مسجدالرسول-کوچه کریمی-پلاک9

♦️شعبه دوم:صادقیه",https://divar.ir/v/gYedfzgs,4000000,,,tv-projector,marketplace,"['https://s100.divarcdn.com/static/pictures/1676731092/gYedfzgs.webp', 'https://s100.divarcdn.com/static/pictures/1676731092/gYedfzgs.1.webp', 'https://s100.divarcdn.com/static/pictures/1676731092/gYedfzgs.2.webp', 'https://s100.divarcdn.com/static/pictures/1676731092/gYedfzgs.3.webp', 'https://s100.divarcdn.com/static/pictures/1676731092/gYedfzgs.4.webp', 'https://s100.divarcdn.com/static/pictures/1676731092/gYedfzgs.5.webp']",تهران,نارمک,gYedfzgs
22,ویدئو پروژکتور اروپایی با گارانتی درجا تعویض,"♦️مرکز سخت افزار دیتامون♦️
      از سال ۱۳۸۸ تاکنون

⬅️بزرگترین و با سابقه ترین فروشگاه ویدئو پروژکتور در سراسر کشور با دو شعبه در تهران و قم

با بهترین‌ برند های موجود در بازار :
Epson
Hitachi
Nec
Sony
و...

♦️موجودی بیش از ۱۰۰ مدل دستگاه
♦️تضمین کیفیت ، قیمت و سلامت دستگاه در فاکتور کتبی 


⭕️گارانتی رو کاملا بی قید و شرط پاسخگو هستیم!
⭕️ویدئو پروژکتورها رو قبل از فروش کامل سرویس میکنیم! 
⭕️دستگاه تعمیری نمیدیم دست مشتری!
⭕️کف قیمت بازار میفروشیم! 
⭕️خدمات پس از فروش ۶ ماهه 
⭕️با ۴ تیم نصاب بهترین خدمات رو در کمترین زمان ارائه میدیم!

و...

♦️تمامی دستگاه ها با لامپ اورجینال تقدیمتون میشه(برند روی لامپ حک شده)


✅نحوه خرید

♦️اعزام نصاب به محل شما، انتخاب دستگاه و نصب کامل

♦️خرید حضوری از فروشگاه با تخفیف به آدرس:

◀️تهران-اتوبان باقری-بلوار دلاوران-خ والائیان شمالی-بین کوچه کریمی و مرادی پلاک ۳۰۷

◀️قم-خیابان معلم-پاساژ ناشران-طبقه سوم واحد ۳۱۱",https://divar.ir/v/AYwgbGrL,4000000,,,tv-projector,marketplace,"['https://s100.divarcdn.com/static/pictures/1676731091/AYwgbGrL.webp', 'https://s100.divarcdn.com/static/pictures/1676731091/AYwgbGrL.1.webp', 'https://s100.divarcdn.com/static/pictures/1676731091/AYwgbGrL.2.webp', 'https://s100.divarcdn.com/static/pictures/1676731091/AYwgbGrL.3.webp', 'https://s100.divarcdn.com/static/pictures/1676731091/AYwgbGrL.4.webp']",تهران,تهرانپارس غربی,AYwgbGrL
23,اسپیکر بلوتوثی قابل حمل,"صدای شفاف و بی نظیر
دارای منوی کنترل و دستگیره
جنس بدنه پلاستیکی بسیار مقاوم ABS
قابلیت اتصال از طریق بلوتوث، فلش و مموری کارت",https://divar.ir/v/wYwHrDaX,189000,,,mp3-player,personal,"['https://s100.divarcdn.com/static/pictures/1676731085/wYwHrDaX.webp', 'https://s100.divarcdn.com/static/pictures/1676731085/wYwHrDaX.1.webp', 'https://s100.divarcdn.com/static/pictures/1676731085/wYwHrDaX.2.webp', 'https://s100.divarcdn.com/static/pictures/1676731085/wYwHrDaX.3.webp', 'https://s100.divarcdn.com/static/pictures/1676731085/wYwHrDaX.4.webp']",تهران,تهرانپارس شرقی,wYwHrDaX
24,5FORZA SRIESبازی انحصاری قابلنصب XBOX X PS,"سری اس 
سری ایکس 
هارد اس اس دی
بیشترین مقاومت و کمترین اسیب در جابجایی در مقابل حرکتهای سریع و ضربه با فناوری اس اس دی و عمر بالا
XBOX SERIES S
XBOXS
 SERIES X
ریجن امریکا1215
1216ریجن اروپا
1200ژاپن
1218آسیا
فرا منطقه ای
سفارشی
فروش کنسول پلی استیشن فایو و ایکس باکس
فروش دسته ساده مشکی سفید و رنگی
بهترین مشاوره خرید با بودجه مد نظر
PS4 XBOX PS5
رفع عیب تخصصی نرم افزاری و سخت افزاری
نصب بازی قانونی هکی کپی
تعویض کنسول
فروش لوازم جانبی
فرمان دنده روکش و کیف و کاور اسکین استند....
رسالت سمنگان شمالی نرسیده به میدان رسالت پلاک ۴۸",https://divar.ir/v/wYTj-Fvl,11900000,,,game-consoles-and-video-games,marketplace,['https://s100.divarcdn.com/static/pictures/1676731081/wYTj-Fvl.webp'],تهران,نارمک,wYTj-Fvl
25,سامسونگ Galaxy A51 با حافظهٔ ۱۲۸ گیگابایت,گوشی سالم حافظه ۱۲۸ رم ۶ فروش بدلیل نیاز مالی,https://divar.ir/v/wYwHrA6Y,6000000,,,mobile-phones,personal,"['https://s100.divarcdn.com/static/pictures/1676731073/wYwHrA6Y.webp', 'https://s100.divarcdn.com/static/pictures/1676731073/wYwHrA6Y.1.webp', 'https://s100.divarcdn.com/static/pictures/1676731073/wYwHrA6Y.2.webp', 'https://s100.divarcdn.com/static/pictures/1676731073/wYwHrA6Y.3.webp']",تهران,خلیج فارس,wYwHrA6Y
26,سامسونگ Galaxy J7 با حافظهٔ ۱۶ گیگابایت,گوشی درحد نو وسالم میباشد,https://divar.ir/v/wYw_q6G1,2000000,,,mobile-phones,personal,"['https://s100.divarcdn.com/static/pictures/1676731064/wYw_q6G1.webp', 'https://s100.divarcdn.com/static/pictures/1676731064/wYw_q6G1.1.webp']",تهران,دیلمان,wYw_q6G1
27,سی دی gta v ps4,سی دی خیلی تمیز هستش بدون کوچیک ترین خط و خش کلا ۱۰ بار استفاده نشده,https://divar.ir/v/wYw_qniF,450000,,,game-consoles-and-video-games,personal,['https://s100.divarcdn.com/static/pictures/1676731063/wYw_qniF.webp'],تهران,شهران جنوبی,wYw_qniF
28,نینتندو سوییچ هک شده کپی خور nintendo switch,"کاملا سالم
با رم ۱۲۸ گیگ که ۵۰۰ تومن پولشه
روی صفحه هم گلس داره که ۳۰۰ پولشه

کنسول واقعا تمیز هست",https://divar.ir/v/wYw_qn9z,11500000,,,game-consoles-and-video-games,personal,"['https://s100.divarcdn.com/static/pictures/1676731063/wYw_qn9z.webp', 'https://s100.divarcdn.com/static/pictures/1676731063/wYw_qn9z.1.webp', 'https://s100.divarcdn.com/static/pictures/1676731063/wYw_qn9z.2.webp']",تهران,بهار,wYw_qn9z
29,ویدیو پروژکتور اپسون,"سلام خدمت دوستان

_فروش انواع پروژکتوربانازلترین قیمت وبالاترین کیفیت  

_قیمت باورنکردنی همراه یک هفته مهلت تست و تعویض ۳ماهه و گارانتی ۶ماهه


_جایگزین مناسبی برای تلویزیون های گرانقیمت 

■در انواع برندها■
Epson
hitachi
Panasonic
sony
nec

□قابلیت اتصال به گوشی موبایل_لب تاب_دستگاه دیجیتال_ps4

● نحوه خرید    
▪︎شرایط ویژه▪︎
☆حضور در فروشگاه و بهرمندی از تخفیف‌ها☆

_امکان ارسال چند دستگاه به منزل و محل مورد نظر شما و انتخاب بعدازتست به سلیقه شما عزیزان

_روزهای کاری:همه روزه حتی روزهای تعطیل ازساعت ۹صبح تا۲۱شب
با دوشعبه فعال درصادقیه وتهرانپارس",https://divar.ir/v/QYxoTIrW,4000000,,,tv-projector,marketplace,"['https://s100.divarcdn.com/static/pictures/1676731058/QYxoTIrW.webp', 'https://s100.divarcdn.com/static/pictures/1676731058/QYxoTIrW.1.webp', 'https://s100.divarcdn.com/static/pictures/1676731058/QYxoTIrW.2.webp']",تهران,سبلان,QYxoTIrW
