,title,description,web_url,price,rent,credit,category,business_type,images,city,district,token
0,اصلاح مو  انواع حیوانات. پت گرومینگ,"نیازمند مدل برای اصلاح. انواع حیوانات. شستشو و سایر خدمات رایگان هست فقط ۱۵۰ تومن هزینه کلینیک گرفته میشه. 
زیر نظر دکتر دامپزشک و کلینیک مجهز.
برای اطلاعات بیشتر تماس بگیرید",https://divar.ir/v/wYw7qKcV,,,,entertainment,personal,['https://s100.divarcdn.com/static/pictures/1676730975/wYw7qKcV.webp'],تهران,ارم,wYw7qKcV
1,نصب بازی PS4 PS5 XBOX,"نصب انواع بازی های روز کنسول های بازی
با کمترین قیمت در منطقه
کپی خور فول انتخ******************
بازی تکی هم پذیرفته میشود",https://divar.ir/v/wYMPPPQ2,,,,entertainment,personal,['https://s100.divarcdn.com/static/pictures/1676730283/wYMPPPQ2.webp'],تهران,پیروزی,wYMPPPQ2
2,شعر ترانه ملودی تنظیم میکس مستر موسیقی موزیک,"پویار استودیو
تولید کننده بهترین آثار
از صفر تا صد کنار شماییم
شعر و ترانه 
ملودی
تنظیم
میکس و مستر
کاور
پخش
مشاوره
بهترین کیفیت

مراجعه حضوری نداریم
تولید اثر برای خوانندگان برتر کشور به صورت رایگان انجام می گیرد",https://divar.ir/v/wYwr4sha,,,,entertainment,personal,"['https://s100.divarcdn.com/static/pictures/1676730144/wYwr4sha.webp', 'https://s100.divarcdn.com/static/pictures/1676730144/wYwr4sha.1.webp']",تهران,ولنجک,wYwr4sha
3,نصب بازی اکانتی Ps4 و Ps5 و Xbox,"نصب جدید ترین بازی های روز با پایین ترین قیمت و با کیفیت بالا همه قیمت ها قیمت همکاری می باشد
-------------------
۵ انتخاب ۵ رندوم Ps4 فقط ۶۰۰
۱۰ انتخاب ۱۰ رندوم Ps4 فقط ۱۰۵۰
-------------------
۵ انتخاب ۵ رندوم Ps5 فقط ۶۰۰
۷ انتخاب ۳ رندوم Ps5 فقط ۹۵۰
-------------------
کپی خور Ps4 فول انتخاب شما با جدید ترین بازی ها فقط ۲۵۰ 
------------------
نصب انواع کنسول های Xbox فول انتخاب فقط ۳۵۰
------------------
تعمیرات کنسول و دسته نیز گرفته می شود
------------------
آدرس = میدان امام خمینی ( توپخونه ) پشت شهداری پاساژ لباف طبقه زیر همکف پلاک ۳۴ منظوری",https://divar.ir/v/wYqJFmQ9,,,,entertainment,personal,"['https://s100.divarcdn.com/static/pictures/1676729046/wYqJFmQ9.webp', 'https://s100.divarcdn.com/static/pictures/1676729046/wYqJFmQ9.1.webp', 'https://s100.divarcdn.com/static/pictures/1676729046/wYqJFmQ9.2.webp', 'https://s100.divarcdn.com/static/pictures/1676729046/wYqJFmQ9.3.webp', 'https://s100.divarcdn.com/static/pictures/1676729046/wYqJFmQ9.4.webp', 'https://s100.divarcdn.com/static/pictures/1676729046/wYqJFmQ9.5.webp', 'https://s100.divarcdn.com/static/pictures/1676729046/wYqJFmQ9.6.webp', 'https://s100.divarcdn.com/static/pictures/1676729046/wYqJFmQ9.7.webp']",تهران,فردوسی,wYqJFmQ9
4,نصب بازی PS4 PS5 XBOX در محل دیتا,"بسمه تعالی
فروشگاه راینا گیم با 6 سال سابقه کاری در زمینه گیمینگ :
_فروش کنسول و لوازم جانبی گیمینگ
_نصب بازی اکانتی 5 تا انتخاب 5 تا رندوم PS4 :
_نصب بازی اکانتی 10 تا انتخاب 5 تا رندوم PS4 :
_نصب بازی کپی خور 500 گیگ و 1ترا PS4:
-نصب بازی XBOX همه مدل ها 500 گیگ و 1ترا:
_تعمییرات تخصصی دسته و تمامی کنسول ها
تمامی خدمات گارانتی می باشند (تضمین خدمات )
برای اطلاع بیشتر تماس حاصل فرمایید.",https://divar.ir/v/wYXfdKRP,,,,entertainment,personal,"['https://s100.divarcdn.com/static/pictures/1676728623/wYXfdKRP.webp', 'https://s100.divarcdn.com/static/pictures/1676728623/wYXfdKRP.1.webp', 'https://s100.divarcdn.com/static/pictures/1676728623/wYXfdKRP.2.webp']",تهران,کوی فردوس,wYXfdKRP
5,تعمیر تعمیرات دسته کنسىول  PS5 _ PS4 _ Xbox one,"تعمیرات دسته در کمتر از نیم ساعت در حضور مشتری و ضمانت سه ماه 
⭐️تعمیرات انواع دستهps4/ps5/xboxone/360
⭐️رفع مشکل L2/R2/L3/R3/LB/RB
⭐️تعویض آیسی شارژ دسته ps4/ps5/xbox
⭐️تعویض سوکت و آیسی HDMI انواع کنسول
⭐️رفع ایراد دورفن و تعویض خمیر سیلکون PS4
⭐️تعویض لنز انواع ایکس باکس 360
⭐️جیتگ ایکس باکس فت / اسلیم / سوپراسلیم

⛔️دوستان هزینه تعمیرات دسته و کنسول دستکاری شده توسط افراد غیرمتخصص بیشتر میباشد
✔️بابت تعمیر هر دسته ps4 یک عدد لایت بار رایگان دریافت کنید
آدرس؛
خیابان پیروزی / چهارراه کوکاکولا / پاساژ پانوراما ( سینما پیروزی سابق ) طبقه منفی ۲ پلاک ۲١۵ (پرتو گیم )

☎️ لطفا قبل از آمدن تماس بگیرین 
ساعت کار ۱۲ ظهر تا ۸ شب
چت دیوار و واتس آپ جوابگو هستم",https://divar.ir/v/gY8-Kz9D,,,,entertainment,personal,"['https://s100.divarcdn.com/static/pictures/1676728227/gY8-Kz9D.webp', 'https://s100.divarcdn.com/static/pictures/1676728227/gY8-Kz9D.1.webp', 'https://s100.divarcdn.com/static/pictures/1676728227/gY8-Kz9D.2.webp']",تهران,پیروزی,gY8-Kz9D
6,استدیو آهنگسازی  رکورد میکس مسترینگ,"‏‎▫️استودیو صدابرداری و آهنگسازی آریا▫️

‏▫️‎آهنگسازی در سبک های رپ ، پاپ ، آرندبی. 

‏‎▫️صدابرداری ( پادکست ، دکلمه ، نریشن ) 

‏‎▫️میکس و مسترینگ با به روز ترین متد مارکت

‏‎▫️ساز زنده با نوازندگی افراد مطرح کشور 

‏‎▫️شعر و ملودی در تمامی سبک ها 

‏‎▫️ساخت تیزر و موزیک ویدیو 

‏‎▫️عکاسی و طراحی کاور 

‏‎▫️پخش سراسری در پلتفورم های ایرانی و خارجی 

استودیو آریا آماده همکاری و حمایت از افراد مستعد میباشد ( در تمامی سبک ها ) 

مشاوره تخصصی در زمینه تهیه و تولید تک آهنگ و آلبوم 

تخفیف ویژه برای افرادی که از طریق این آگهی با مجموعه آریا در ارتباط هستند 

برای اطلاع از شرایط و مشاوره در « چت دیوار » 
با ما در ارتباط باشید",https://divar.ir/v/wYw_J3Er,,,,entertainment,personal,"['https://s100.divarcdn.com/static/pictures/1676727117/wYw_J3Er.webp', 'https://s100.divarcdn.com/static/pictures/1676727117/wYw_J3Er.1.webp']",تهران,جیحون,wYw_J3Er
7,سمساری وضایعاتی ‌‌قلهک پاسداران نارمک پردیس,"خریدار کلیه لوازم منزل 
از ریز تا درشت کلی وجزیی وخردریز انباری 
وضایعات در اسرع وقت",https://divar.ir/v/gYGEqY2_,,,,entertainment,personal,['https://s100.divarcdn.com/static/pictures/1676726425/gYGEqY2_.webp'],تهران,نارمک,gYGEqY2_
8,آهنگسازی خوانندگی استودیو اسپانسری استدیو,"آهنگسازی و تنظیم با قیمت مناسب و کیفیت استاندارد
تحویل یک هفته ای کار با بهترین کیفیت
حمایتی واقعی قیمت گذاری منصفانه و اقتصادی
شعر و ملودی
ضبط و صدابرداری
میکس و مسترینگ 
تهیه و تولید صفر تا صد موسیقی 
شروع قیمت از 1 تومن
انتشار کار و اخذ مجوز های لازمه
برندسازی و حمایت همه جانبه 
مدیریت هنری و برندینگ
حمایت تا اجرا های ارگانی و کنسرت

کیفیت حرفه ای قیمت مناسب
تیم کاملا حرفه ای و رزومه دار 
سابقه همکاری با صدا و سیما 
سابقه همکاری با بزرگان موسیقی و خواننده های برند
شروع قیمت از 1 تومن

صفر تا صد فعالیت هنری خود را به ما بسپارید...",https://divar.ir/v/wYDVdBk5,,,,entertainment,personal,"['https://s100.divarcdn.com/static/pictures/1676725409/wYDVdBk5.webp', 'https://s100.divarcdn.com/static/pictures/1676725409/wYDVdBk5.1.webp', 'https://s100.divarcdn.com/static/pictures/1676725409/wYDVdBk5.2.webp', 'https://s100.divarcdn.com/static/pictures/1676725409/wYDVdBk5.3.webp']",تهران,ابن بابویه,wYDVdBk5
9,تولید کننده کیسه بوکس و آدمک مبارزه,کلیه محصولات دوسال گارانتی دارد,https://divar.ir/v/wY_dTh3Y,,,,entertainment,personal,"['https://s100.divarcdn.com/static/pictures/1676724758/wY_dTh3Y.webp', 'https://s100.divarcdn.com/static/pictures/1676724758/wY_dTh3Y.1.webp', 'https://s100.divarcdn.com/static/pictures/1676724758/wY_dTh3Y.2.webp', 'https://s100.divarcdn.com/static/pictures/1676724758/wY_dTh3Y.3.webp', 'https://s100.divarcdn.com/static/pictures/1676724758/wY_dTh3Y.4.webp', 'https://s100.divarcdn.com/static/pictures/1676724758/wY_dTh3Y.5.webp', 'https://s100.divarcdn.com/static/pictures/1676724758/wY_dTh3Y.6.webp', 'https://s100.divarcdn.com/static/pictures/1676724758/wY_dTh3Y.7.webp', 'https://s100.divarcdn.com/static/pictures/1676724758/wY_dTh3Y.8.webp', 'https://s100.divarcdn.com/static/pictures/1676724758/wY_dTh3Y.9.webp']",تهران,منیریه,wY_dTh3Y
