,title,description,web_url,price,rent,credit,category,business_type,images,city,district,token
0,آینه و کنسول,"تجهیزات آرایشگاهی 
تولید وپخش صفرتاصد تجهیزات آرایشگاهی 
✅تمام ام دی اف،وکیوم ،نوار پی وی سی 
✅رنگ بندی مختلف،ضمانت کالا.
✅ارسال به سراسر کشور 
برای اطلاعات بیشتر تماس بگیرید",https://divar.ir/v/wYwigbmp,4600000.0,,,barbershop-and-beautysalon,marketplace,"['https://s100.divarcdn.com/static/pictures/1676732345/wYwigbmp.webp', 'https://s100.divarcdn.com/static/pictures/1676732345/wYwigbmp.1.webp', 'https://s100.divarcdn.com/static/pictures/1676732345/wYwigbmp.2.webp', 'https://s100.divarcdn.com/static/pictures/1676732345/wYwigbmp.3.webp', 'https://s100.divarcdn.com/static/pictures/1676732345/wYwigbmp.4.webp', 'https://s100.divarcdn.com/static/pictures/1676732345/wYwigbmp.5.webp']",تهران,نعمت‌آباد,wYwigbmp
1,لوازم آرایشگاه,۱-صندلی اصلاح یا همان صندلی استاد کار ۲- سه عدد کابینت ضخیم با ورق گالوانیزه و رنگ کوره ای ۳- صفحه ام بی اف به طول دو متر ونیم که روی کابینتها نصب میشود ۴- یک عدد ویترین ام بی اف  که بین دو آینه برای وسایل دکوری یاهر چیز دیگر گذاشتن ۵- دو عدد زیر پایی با چوب ام بی اف که زیر پای مشتری گذاشته مبشود۶- سه عدد باکس ام بی اف که روی دیوار وصل میشود برای دخل یا ماشین اصلاح گذاشتن ۷- یک عدد آینه بزرگ         در ضمن صندلی کوچکی که در عکس میباشد فروخته شده لطفا بابت آن سوال نفرمایید,https://divar.ir/v/wYwTbwE3,2500000.0,,,barbershop-and-beautysalon,personal,"['https://s100.divarcdn.com/static/pictures/1676732334/wYwTbwE3.webp', 'https://s100.divarcdn.com/static/pictures/1676732334/wYwTbwE3.1.webp', 'https://s100.divarcdn.com/static/pictures/1676732334/wYwTbwE3.2.webp', 'https://s100.divarcdn.com/static/pictures/1676732334/wYwTbwE3.3.webp']",تهران,ابراهیم‌آباد,wYwTbwE3
2,خریدار کاغذ باطله آهن آلات خورده ریز انباری,"بسمه تعالی 
                  
بهترین و بالاترین خریدار کاغذباطله کتاب دفتر 
اسناد اداری قابل امحا در حضور نمایندگان 
خرید آهن آلات صنعتی و  ضایعاتی  
خرید لوازم اسکاتی اداری کیس مانیتور 
لوازم مخابراتی تلفون های خراب 
خرید از تمام ارگان‌هایی دولتی و  شخصی 
با فاکتور  معتبر و باسکول دقیق 
سریع در محل شما عزیزان بدون تعطیلی شبانه 
روزی 
یا علی",https://divar.ir/v/wYDm0CNz,1.0,,,batch,marketplace,['https://s100.divarcdn.com/static/pictures/1676732330/wYDm0CNz.webp'],تهران,صادقیه,wYDm0CNz
3,خرید فروش‌ ضایعات خرید آهن چدن مس برنج آلمینیوم,"خریدار ضایعات آهن چدن مس آلومینیوم در پنچره 
کلر آبی وگازی بدون تعطیلی در سراسر تهران 
با تشکر از دیوار",https://divar.ir/v/wYkTN5U0,20000.0,,,batch,personal,"['https://s100.divarcdn.com/static/pictures/1676732316/wYkTN5U0.webp', 'https://s100.divarcdn.com/static/pictures/1676732316/wYkTN5U0.1.webp']",تهران,نارمک,wYkTN5U0
4,دستگاه جوش اینورتر ۲۵۰ آمپر هایترونیک,"تکفاز 
کیفیت عالی 
ذوب الکترود ۳و۴ دائم",https://divar.ir/v/wYo7-rMl,5500000.0,,,industrial-machinery,personal,"['https://s100.divarcdn.com/static/pictures/1676732312/wYo7-rMl.webp', 'https://s100.divarcdn.com/static/pictures/1676732312/wYo7-rMl.1.webp', 'https://s100.divarcdn.com/static/pictures/1676732312/wYo7-rMl.2.webp']",تهران,خاوران,wYo7-rMl
5,خرید ضایعات آهن مس آلمینیوم ورقهای شیروانی,"بهترین و بالاترین خریدار 
انواع ورقهای شیروانی صنعتی به قیمت ۱۵ هزار 
خریدار ضایعات آهن نبشی قوطی میلگرد تیر آهن 
تخریب ساختمان 
لوازم اداری شرکتی بیمارستانی دانشگاهی و غیره",https://divar.ir/v/wY-c9lyY,17000.0,,,batch,personal,"['https://s100.divarcdn.com/static/pictures/1676732297/wY-c9lyY.webp', 'https://s100.divarcdn.com/static/pictures/1676732297/wY-c9lyY.1.webp', 'https://s100.divarcdn.com/static/pictures/1676732297/wY-c9lyY.2.webp', 'https://s100.divarcdn.com/static/pictures/1676732297/wY-c9lyY.3.webp']",تهران,امیرآباد,wY-c9lyY
6,فروش قطعات کارتخوان به صورت یکجا,"باسلام مقداری قطعات دستگاه کارتخوان طبق لیست موجود فروش به صورت یکجا و قیمت مناسب
 ال سی دی s90. تعداد ۵عددرنگی   
ال سی دی ۵۸تعداد ۳عدد
ال سی دی ۷۲۱۰تعداد ۲عد
ال سی دی ۸۰ تعداد ۳عدد
ال سی دی جی تری تعداد ۲عدد.
تاچ ال سی دی ۶۸۰ تعداد ۱عدد
2️⃣پرینتر s58تعداد ۶عدد
پرینتر s80تعداد ۳عدد
پرینتر ۷۲۱۰تعداد ۵عدد
پرینتر ۶۸۰ تعداد ۲عدد.
3️⃣درب پرینتر ۸۰تعداد ۲عدد
درب باطری ۹۱۰ تعداد ۲عدد.
درب باطری ۸۰ تعداد ۱عدد.
درب باطری ۵۸ تعداد ۳عد
4️⃣کی پد G3تعداد. ۴عد
کی پد s58. تعداد ۴عد
کی پد s90تعداد ۱عدد.
کی پد 7210تعداد ۵عدد
کی پد s80تعداد ۳عدد
کی پد d210تعداد ۱عد
کی پد 680تعداد ۱عدد
کی پد 675تعداد ۱عدد
5️⃣مگنت G3تعداد ۱عدد
مگنت 675 تعداد ۱عدد
مگنت s58تعداد ۲عدد
مگنت s90تک پورت تعداد ۳عدد
6️⃣کابل سریال G3تعداد ۳عدد.
کابل سریال s90تعداد ۳عد
کابل اپ G3تعداد ۲عدد
کابل otgاپ پکس تعداد ۳عدد
کابل اپ 680تعداد ۲عدد.
7️⃣ طلق اکبند g3 تعداد ۵۰عدد
طلق s58تعداد ۲عدد
طلق s90تعداد ۱عدد
8️⃣سوکت شارژ s90تعداد ۲۲عد
سوکت شارژ 7210تعداد ۵۰عدد
سوکت شارژ ۹۱۰ تعداد ۵۰عدد
سوکت شارژ ۶۸۰ تعداد ۹
سوکت سیم کارت ۶۷۰ اصلی",https://divar.ir/v/wYwXrY90,6000000.0,,,shop-and-cash,personal,['https://s100.divarcdn.com/static/pictures/1676732293/wYwXrY90.webp'],تهران,فدک,wYwXrY90
7,گیره بامیزکار صنعتی,"میزکار چهارچوب بانوشی ۱۰و ورق دور 
۲میل و ورق روی میز ۳میل 
گیره انگلیسی وبزرگ وسالم وفولادی
کشوی بلبیرینگی و راحت باز و بسته میشود درب قفل خور وبسیار سنگین 
علت فروش بکار کارم نمیاد،
(( قیمت توافقی  ))",https://divar.ir/v/wYwv1EiV,8500000.0,,,industrial-machinery,personal,[],تهران,سیزده آبان,wYwv1EiV
8,سشوار کلاهی,به خریدار واقعی تخفیف داده میشود,https://divar.ir/v/wYwX7LYA,600000.0,,,barbershop-and-beautysalon,personal,"['https://s100.divarcdn.com/static/pictures/1676732285/wYwX7LYA.webp', 'https://s100.divarcdn.com/static/pictures/1676732285/wYwX7LYA.1.webp']",تهران,امامت,wYwX7LYA
9,سنگ فرز متابو آهنگری,"اصل آلمان 
در حد نو کم کار",https://divar.ir/v/wYwX7ACw,3000000.0,,,industrial-machinery,personal,"['https://s100.divarcdn.com/static/pictures/1676732278/wYwX7ACw.webp', 'https://s100.divarcdn.com/static/pictures/1676732278/wYwX7ACw.1.webp', 'https://s100.divarcdn.com/static/pictures/1676732278/wYwX7ACw.2.webp', 'https://s100.divarcdn.com/static/pictures/1676732278/wYwX7ACw.3.webp']",تهران,نیرو هوایی,wYwX7ACw
