,title,description,web_url,price,rent,credit,category,business_type,images,city,district,token
0,انواع لنت برند,لنت هندا لنت تویوتا لنت مرسدس لنت سایپا لنت پژو لنت هیوندا لنت بی ام دبلیو لنت ولکس لنت ایران خودرو لنت رانا,https://divar.ir/v/wYwD7O8S,200000.0,,,parts-accessories,personal,['https://s100.divarcdn.com/static/pictures/1676730870/wYwD7O8S.webp'],تهران,ایران,wYwD7O8S
1,ضبط پایونییر مدلs1050ub,بسیار سالم usb cd aux,https://divar.ir/v/wYwDrMUX,1900000.0,,,parts-accessories,personal,"['https://s100.divarcdn.com/static/pictures/1676730866/wYwDrMUX.webp', 'https://s100.divarcdn.com/static/pictures/1676730866/wYwDrMUX.1.webp', 'https://s100.divarcdn.com/static/pictures/1676730866/wYwDrMUX.2.webp']",تهران,پاتریس لومومبا,wYwDrMUX
2,البرزتک کشنده ۹۱,البرز ۹۱بدون رنگ کارکرد ۵۰۰هزار بشرط همش تانک بوده موتور سلام گیربکس تازه تعمیر صفحه کلاج نو پمب کلاج بالا وپایین نوین بخاری نو سالم تو دوزی نو دینام نو استارت نو کمپرسور کولر نو پمب باد نو سوزن نو صفحه دیسک نو لاستیک جلو نو دف ۸۰درصد,https://divar.ir/v/wYwDLJvb,3500000000.0,,,heavy,personal,['https://s100.divarcdn.com/static/pictures/1676730856/wYwDLJvb.webp'],تهران,کوهک,wYwDLJvb
3,بنز کلاس C C200، کمپرسور مدل 2006,"مرسدس بنز کلاس c c200 کمپرسور 
مدل 2006 فول وارداتی سند شخصی 
گیربکس اتوماتیک فابریک تیپ ترونیک .
ایربگ .سانروف .کروز کنترل . اتولایت .
صندلی برقی 8 حالته . گرمکن صندلی. 
تمام زه های دور و دستگیره و آبگیر شیشه و غیره فابریک استیل .مانیتور و دوربین دنده عقب  لاستیک ها در حد نو هانکوک کولر و بخاری روشن سالم فنی موتور گیربکس سالم بدون مشکل آماده استفاده و مسافرت.  داخل تمیز بدون هیچگونه پارگی 
رخ عالی و تمیز. چند لکه جزئی رنگ بدون ضربه و تعویضی سقف و ستون  شاسی ها و لای دربها همه پلمپ. لطفا خریدار واقعی تماس بگیرد..
قبل از تماس لطفا قیمت هارو توی دیوار ببینید بعد تماس بگیرید با بنز c240 پلیسی هم مقایسه نکنید این مدل c200 شخصی هست با تشکر",https://divar.ir/v/wYFzWFpx,1100000000.0,,,light,personal,"['https://s100.divarcdn.com/static/pictures/1676730834/wYFzWFpx.webp', 'https://s100.divarcdn.com/static/pictures/1676730834/wYFzWFpx.1.webp', 'https://s100.divarcdn.com/static/pictures/1676730834/wYFzWFpx.2.webp', 'https://s100.divarcdn.com/static/pictures/1676730834/wYFzWFpx.3.webp', 'https://s100.divarcdn.com/static/pictures/1676730834/wYFzWFpx.4.webp', 'https://s100.divarcdn.com/static/pictures/1676730834/wYFzWFpx.5.webp', 'https://s100.divarcdn.com/static/pictures/1676730834/wYFzWFpx.6.webp', 'https://s100.divarcdn.com/static/pictures/1676730834/wYFzWFpx.7.webp', 'https://s100.divarcdn.com/static/pictures/1676730834/wYFzWFpx.8.webp', 'https://s100.divarcdn.com/static/pictures/1676730834/wYFzWFpx.9.webp']",تهران,تهرانپارس شرقی,wYFzWFpx
4,بنز ۲۸۰ s,"بنز ۲۸۰s اطاق ۱۱۶
مدل ۱۹۷۵
رنگ آجری
قیمت توافقی 
برط بازدید و پیشنهاد قیمت 
کلیه قطعات فابریک سالم 
ماشین آماده مسافرت بدون مشکل 
لاستیک‌ها سالم 
بعلت مهاجرت فوری فروشی باتخفیف چندین سال است مصرف خانواده داشته",https://divar.ir/v/wYiX4CoD,245000000.0,,,light,personal,"['https://s100.divarcdn.com/static/pictures/1676730832/wYiX4CoD.webp', 'https://s100.divarcdn.com/static/pictures/1676730832/wYiX4CoD.1.webp', 'https://s100.divarcdn.com/static/pictures/1676730832/wYiX4CoD.2.webp', 'https://s100.divarcdn.com/static/pictures/1676730832/wYiX4CoD.3.webp']",تهران,شمس‌آباد,wYiX4CoD
5,اتاق کامل اف۱۲ - اطاق کابین تو پر F12 ولو,"سقف و درب چپ رنگ شده
بخاری و کولر رادیاتی زیر داشبورد وسط، کامل (ارزش۲۰میلیون)
آفتابگیر نو طرح اصلی (ارزش ۲میلیون و ۷۰۰)
بوق نو درجه ۱ (ارزش ۱میلیون و ۶۰۰)
غربیلک طرح NL (ارزش ۱۰ میلیون تومان)
سیم کشی و آمپر تلویزیونی تست شده (مزد باتریسازی ۵ میلیون تومان)
کانال پشت اتاق کامل استوک اهنی (ارزش ۱۶ میلیون تومان)
صندلی ۱جفت FH (ارزش ۱۴ میلیون)
تودوزی کامل طلق کشی با تمام چراغ های داخل کابین (هزینه تودوزی کردن و چراغ ها اصلی داخل ۳۳ میلیون)
پشت سقفی مدل بالا شده (ارزش ورق پشت سقفی و هزینه تعویض ۱۴ میلیون و ۴۰۰)
شیشه بالا بر هر دو در برقی (ارزش نسبت به شیشه بالابر دستی ۷ میلیون)
جلو پنجره، لپی های کامل و بادگیر های بغل شیشه نو نو (ارزش و مزد نقاش ۱۳ میلیون)
تابلو برق و امپرها درجه ۱
سرجمع این اتاق ۱۳۶ میلیون و ۷۰۰ با ارزش تر از اتاق های اروپایی میباشد در ضمن نیاز نیست ۱ماه منتظر تودوزی کار و باطریساز و صافکاری و نقاشی بشید، کاملا آماده بستن در ۲روز
توضیحات کامله کسی خواست در خدمتم
ساعت پاسخگویی ۸:۳۰ صبح تا ۶ عصر",https://divar.ir/v/wYwD7Czp,,,,parts-accessories,personal,"['https://s100.divarcdn.com/static/pictures/1676730829/wYwD7Czp.webp', 'https://s100.divarcdn.com/static/pictures/1676730829/wYwD7Czp.1.webp', 'https://s100.divarcdn.com/static/pictures/1676730829/wYwD7Czp.2.webp', 'https://s100.divarcdn.com/static/pictures/1676730829/wYwD7Czp.3.webp', 'https://s100.divarcdn.com/static/pictures/1676730829/wYwD7Czp.4.webp', 'https://s100.divarcdn.com/static/pictures/1676730829/wYwD7Czp.5.webp', 'https://s100.divarcdn.com/static/pictures/1676730829/wYwD7Czp.6.webp', 'https://s100.divarcdn.com/static/pictures/1676730829/wYwD7Czp.7.webp']",تهران,خاوران,wYwD7Czp
6,اطاق مسقف چادری بغل باز شو,اطاق مسقف چادری بغل باز شو ۵/۸۰ طول ۲۳۰ عرض ارتفاع ۲۵۰ شرکت بهمن دیزل در حد نو کلا چند تا بار نخورده,https://divar.ir/v/wYwDrCEL,110000000.0,,,parts-accessories,personal,['https://s100.divarcdn.com/static/pictures/1676730826/wYwDrCEL.webp'],تهران,آبشار تهران,wYwDrCEL
7,قاب ضبط پژو پارس سوناتایی,"قاب ضبط پژو پارس سوناتایی در حد نو 
بدلیل نصب مانیتور بفروش میرسد
تخفیف هم داده میشود",https://divar.ir/v/wYw_q443,150000.0,,,parts-accessories,personal,"['https://s100.divarcdn.com/static/pictures/1676730827/wYw_q443.webp', 'https://s100.divarcdn.com/static/pictures/1676730827/wYw_q443.1.webp', 'https://s100.divarcdn.com/static/pictures/1676730827/wYw_q443.2.webp']",تهران,فلاح,wYw_q443
8,کمک فنر جلو پرشیا,کمک فنر کوتاه پرشیا فابریکی کاملا سالم,https://divar.ir/v/wYwDrBC1,500000.0,,,parts-accessories,personal,"['https://s100.divarcdn.com/static/pictures/1676730821/wYwDrBC1.webp', 'https://s100.divarcdn.com/static/pictures/1676730821/wYwDrBC1.1.webp']",تهران,مجیدیه,wYwDrBC1
9,آمیکو میکسر,آمیکو میکسر مدل 92 بدون رنگ فنی بشرط دیگ 10متری همه چی بشرط کارشناسی,https://divar.ir/v/wYMzDwqK,,,,heavy,personal,"['https://s100.divarcdn.com/static/pictures/1676730813/wYMzDwqK.webp', 'https://s100.divarcdn.com/static/pictures/1676730813/wYMzDwqK.1.webp', 'https://s100.divarcdn.com/static/pictures/1676730813/wYMzDwqK.2.webp', 'https://s100.divarcdn.com/static/pictures/1676730813/wYMzDwqK.3.webp', 'https://s100.divarcdn.com/static/pictures/1676730813/wYMzDwqK.4.webp', 'https://s100.divarcdn.com/static/pictures/1676730813/wYMzDwqK.5.webp', 'https://s100.divarcdn.com/static/pictures/1676730813/wYMzDwqK.6.webp']",تهران,آبشار تهران,wYMzDwqK
