,title,description,web_url,price,rent,credit,category,business_type,images,city,district,token
0,گلدان زیر و رو آنتیک و قدیمی مارکدار برنز برنجی,"گلدان آنتیک و قدیمی 
مارکدار Mapco هندوستان
تمام استیل با شاخ و برگ و پروانه های برنجی 
پروانه ها به صورت پیچی جدا می شوند 
ارتفاع گلدان ۱۶ سانت و حجیم
قطر دیس ۲۰ سانت 
دو عدد با هم ۶۵۰ تومان 
سالم و تمیز",https://divar.ir/v/wYw_nScM,400000,,,crafts,personal,"['https://s100.divarcdn.com/static/pictures/1676731436/wYw_nScM.webp', 'https://s100.divarcdn.com/static/pictures/1676731436/wYw_nScM.1.webp', 'https://s100.divarcdn.com/static/pictures/1676731436/wYw_nScM.2.webp', 'https://s100.divarcdn.com/static/pictures/1676731436/wYw_nScM.3.webp']",تهران,سعادت‌آباد,wYw_nScM
1,پرده تزئینی,ابعاد:۹۵*۲۲۰,https://divar.ir/v/wYwLLbvQ,230000,,,curtains-table-cover,personal,"['https://s100.divarcdn.com/static/pictures/1676731436/wYwLLbvQ.webp', 'https://s100.divarcdn.com/static/pictures/1676731436/wYwLLbvQ.1.webp']",تهران,دولت‌آباد,wYwLLbvQ
2,تشک رویال شرکتی _ پرما فلکس شرکتی,"پخش تشک در مدلهای متنوع و همه ابعاد 
با بهترین متریال و اپشن های روز دنیا 

به صورت تک (برای مصرف کنندگان)
و عمده برای (همکاران گرامی )

ارسال رایگان /پرداخت درب منزل 
برای تهران و کرج
ارسال به سراسر ایران توسط باربری


شروع قیمت تشک تکنفره 
۱۸۰/۸۰ از ۷۰۰ هزار تومان 
۲۰۰/۹۰ از ۷۵۰ هزار تومان 
۱۲۰/۲۰۰ از ۸۵۰هزار تومان 



شروع قیمت تشک های دونفره 
۱۴۰/۲۰۰ از ۹۰۰ هزار تومان 
۱۶۰/۲۰۰ از ۱ملیون تومان
۱۸۰/۲۰۰ از ۱۱۰۰هزار تومان 


*باکس هتلی
 (جایگزین تخت خواب های قدیمی)
شیک و مدرن و مقاوم
(بدون سرو صدا)
باکس ۹۰ :  ۱۲۰۰ت
باکس ۱۶۰  ؛  ۱۴۰۰ت

+کفی فلزی فرم و جکدار

توجه داشته باشید 

 
(امن خرید کنید)

۲/ لطفا قیمت کالاهای مشابه و فیک بازار را 
 که از مواد دست دوم تهیه میشوند با کالای اصلی و با کیفیت ما (بازرگانی بهروزی)مقایسه نکنید 

(کالای اصلی دارای شماره سریال میباشد که از طریق سامانه ما قابل تایید و پیگیری میباشد )",https://divar.ir/v/QYzaQx6s,3800000,,,mattress,marketplace,"['https://s100.divarcdn.com/static/pictures/1676731431/QYzaQx6s.webp', 'https://s100.divarcdn.com/static/pictures/1676731431/QYzaQx6s.1.webp']",تهران,مجیدیه,QYzaQx6s
3,سردوز مدل پروانه ۳نخ,"سلام سردوز سالم در حد نو تقریبا استفاده نشده 
چون طریقه استفاده بلد نبودیم استفاده نشد
فقط یک بار استفاده شد",https://divar.ir/v/wYuLqadN,3200000,,,sewing-machine,personal,"['https://s100.divarcdn.com/static/pictures/1676731433/wYuLqadN.webp', 'https://s100.divarcdn.com/static/pictures/1676731433/wYuLqadN.1.webp', 'https://s100.divarcdn.com/static/pictures/1676731433/wYuLqadN.2.webp', 'https://s100.divarcdn.com/static/pictures/1676731433/wYuLqadN.3.webp', 'https://s100.divarcdn.com/static/pictures/1676731433/wYuLqadN.4.webp', 'https://s100.divarcdn.com/static/pictures/1676731433/wYuLqadN.5.webp', 'https://s100.divarcdn.com/static/pictures/1676731433/wYuLqadN.6.webp']",تهران,قنات‌کوثر,wYuLqadN
4,فرش ماشینی,فرش ماشینی به ابعاد ۳/۷ وعرض ۱۹۸ سالمه سالم وتمیز,https://divar.ir/v/wYwHrFt9,450000,,,carpet,personal,"['https://s100.divarcdn.com/static/pictures/1676731433/wYwHrFt9.webp', 'https://s100.divarcdn.com/static/pictures/1676731433/wYwHrFt9.1.webp', 'https://s100.divarcdn.com/static/pictures/1676731433/wYwHrFt9.2.webp', 'https://s100.divarcdn.com/static/pictures/1676731433/wYwHrFt9.3.webp', 'https://s100.divarcdn.com/static/pictures/1676731433/wYwHrFt9.4.webp', 'https://s100.divarcdn.com/static/pictures/1676731433/wYwHrFt9.5.webp']",تهران,لویزان,wYwHrFt9
5,تشک رویال پلاس شرکتی,"تولید تشک رویال مارال



 در اجرا ثابت میکنیم که بی نظیریم

☘️☘️ تشک برایه رفع کمر درد، با داشتن گزینه های متنوع دیگر نگران نباشید

☘️☘️ بدون نیاز به بازار از ما راحت خرید کنید

☘️ درباره مـا
⭕ انواع تشک در ابعاد مختلف
⭕⭕ تشک هایه استاندارد و غیر استاندارد
⭕ پرداخت درب منزل ارسال رایگان
⭕⭕ برایه خرید حضوری به کار خانه تشریف بیاورید- بدون واسطه
⭕ امکان تغییر هر چیزی متناسب خواسته شما وجود دارد
⭕⭕ و کلی آپشن دیگر که بهتون توسیه می کنم حتما ما را هم جز گزینه های خود بگذارید

ارسال با رعایت اصول بهداشتی 

ارسال ب شهرستان از طریق باربری",https://divar.ir/v/wY9K8GxM,1000000,,,mattress,marketplace,['https://s100.divarcdn.com/static/pictures/1676731426/wY9K8GxM.webp'],تهران,شاندیز,wY9K8GxM
6,مبلمان استیل تمام چوب راش ورق طلا,مبلمان بسیار تمیز وجنس بسیار محکم وعالی ست وباید از نزدیک ببینید وسه سال بیشتر استفاده نشده به علت کمبود جا فروخته میشود,https://divar.ir/v/wYwLrZ2p,34000000,,,furniture,personal,"['https://s100.divarcdn.com/static/pictures/1676731427/wYwLrZ2p.webp', 'https://s100.divarcdn.com/static/pictures/1676731427/wYwLrZ2p.1.webp']",تهران,صادقیه,wYwLrZ2p
7,جاکفشی,"جاکفشی سفید
ی جعبه مخفی بالای جاکفشی
جای ۱۲جفت کفش
امکان ارسال هم داریم",https://divar.ir/v/wYwHrFBE,520000,,,shoe-rack-drawer,personal,['https://s100.divarcdn.com/static/pictures/1676731427/wYwHrFBE.webp'],تهران,نظام‌آباد,wYwHrFBE
8,در حد نو میباشد و اصلا استفاده نشده. تخت,"۳عدد تخت تک نفره بدون تشک .
اندازه تخت۱۹۰در ۸۰میباشد.
تکی هم فروخته میشود.
قیمت هر یه تخت یک ملیون .",https://divar.ir/v/wYw_K8hT,3000000,,,bed-service,personal,"['https://s100.divarcdn.com/static/pictures/1676731425/wYw_K8hT.webp', 'https://s100.divarcdn.com/static/pictures/1676731425/wYw_K8hT.1.webp', 'https://s100.divarcdn.com/static/pictures/1676731425/wYw_K8hT.2.webp', 'https://s100.divarcdn.com/static/pictures/1676731425/wYw_K8hT.3.webp']",تهران,دولتخواه,wYw_K8hT
9,مبلمان استیل و ناهارخوری,"باسلام 
مبلمان استیل و نهارخوری شامل :
کاناپه سه نفره کینگ
چهارعدد تک نفره
دوعدد میزبان
یک عدد میزعسلی بزرگ
دوعدد میزعسلی کوچک
یک میزناهارخوری ۱۰نفره
ده عدد صندلی ناهارخوری
تمامی شیشه میزها ابزار خورده ۱۰میل می باشد
تمامی منبت ها کار دست استاد می باشد
بدون کوچک ترین خط و خش و شکستگی
فوم های به کار رفته دوبل سرد می باشد
تمامی کار چوب راش گرجستان می باشد
تمامی کار ورق طلایی با کیفیت به کار رفته
پارچه مبلمان ای ث ترکیه می باشد و‌سفارش کار شده است",https://divar.ir/v/wYwTh_3o,48000000,,,furniture,personal,"['https://s100.divarcdn.com/static/pictures/1676731422/wYwTh_3o.webp', 'https://s100.divarcdn.com/static/pictures/1676731422/wYwTh_3o.1.webp', 'https://s100.divarcdn.com/static/pictures/1676731422/wYwTh_3o.2.webp', 'https://s100.divarcdn.com/static/pictures/1676731422/wYwTh_3o.3.webp', 'https://s100.divarcdn.com/static/pictures/1676731422/wYwTh_3o.4.webp', 'https://s100.divarcdn.com/static/pictures/1676731422/wYwTh_3o.5.webp']",تهران,سعادت‌آباد,wYwTh_3o
